,City,Latitude,Longitude,Humidity,Max Temp,Cloudiness,WindSpeed,Date,Country
129,chalon-sur-saone,46.78,4.85,93,9.0,8,3.6,1540094400,FR
130,kapaa,22.08,-159.32,69,29.0,40,7.2,1540090560,US
131,lethem,3.38,-59.8,85,25.7,12,1.81,1540095536,GY
132,cartagena,37.63,-1.0,83,22.0,0,8.7,1540094400,ES
133,oussouye,12.49,-16.54,94,27.0,0,1.0,1540090800,SN
134,erenhot,43.65,111.97,76,10.88,44,6.01,1540095537,CN
135,sabang,13.72,123.58,100,26.5,92,2.76,1540095537,PH
136,rawson,-43.3,-65.11,78,12.93,0,7.06,1540095440,AR
137,khandyga,62.65,135.58,73,-6.4,56,1.46,1540095537,RU
138,jiexiu,37.02,111.92,73,11.15,48,1.46,1540095538,CN
139,maniitsoq,65.42,-52.9,100,-7.55,76,3.91,1540095538,GL
140,pevek,69.7,170.27,100,-3.1,88,3.86,1540095538,RU
141,havre-saint-pierre,50.23,-63.6,87,7.0,90,6.7,1540090800,CA
142,santa catarina,-29.97,-50.14,86,15.2,56,3.01,1540095538,BR
143,qeshm,26.96,56.27,74,27.0,0,3.1,1540092600,IR
144,port alfred,-33.59,26.89,92,15.28,68,3.21,1540095539,ZA
145,tessalit,20.2,1.01,24,23.75,76,4.11,1540095539,ML
146,kushiro,43.11,144.15,67,14.0,20,4.6,1540090800,JP
147,lubbock,33.58,-101.86,71,10.0,20,2.6,1540094100,US
148,kaitangata,-46.28,169.85,72,20.88,8,2.31,1540095540,NZ
149,mayumba,-3.44,10.65,100,24.43,92,4.31,1540095540,GA
150,iranduba,-3.28,-60.19,94,26.0,75,1.5,1540094400,BR
151,khammam,17.25,80.15,73,27.18,12,1.91,1540095540,IN
152,taoudenni,22.68,-3.98,55,23.03,48,2.86,1540095541,ML
153,ahipara,-35.17,173.16,63,20.0,20,3.01,1540095541,NZ
154,morwell,-38.24,146.4,70,15.2,76,1.81,1540095541,AU
155,aklavik,68.22,-135.01,92,-5.0,90,2.86,1540095060,CA
156,chuy,-33.69,-53.46,93,11.28,8,3.06,1540095541,UY
157,ribeira grande,38.52,-28.7,100,20.2,88,7.96,1540095542,PT
158,pamyat parizhskoy kommuny,56.1,44.5,100,2.0,90,1.0,1540092600,RU
159,arman,59.7,150.17,100,4.0,90,1.66,1540092600,RU
160,esperance,10.24,-61.45,88,26.0,40,2.21,1540090800,TT
161,bahia honda,22.9,-83.16,90,24.35,8,2.11,1540095542,CU
162,imbituba,-28.24,-48.67,88,17.0,75,2.6,1540090800,BR
163,alice springs,-23.7,133.88,13,29.0,0,4.1,1540094400,AU
164,noshiro,40.21,140.05,63,18.0,20,1.0,1540090800,JP
165,port moresby,-9.47,147.16,66,30.0,40,7.7,1540094400,PG
166,roanoke,37.27,-79.94,54,13.0,75,7.7,1540094100,US
167,khani,41.96,42.96,93,12.0,75,2.6,1540092600,GE
168,port hedland,-20.31,118.58,41,34.0,0,7.7,1540094400,AU
169,saint-pierre,48.95,4.24,93,5.0,20,4.1,1540094400,FR
170,la romana,18.43,-68.97,100,26.0,20,2.76,1540090800,DO
